title,description,category,sub_category,type
Rare Mid Century Karl Springer Large Lacquered Goat Skin Dining Table LG223-2,"  A large stunning dining table by Karl Springer, circa 1970s. Beveled top with rounded corners is supported by two semi circular pedestal base. Completely clad with lacquered goat skin. Simple form that showcases the luxury material and superb craftsmanship.   
 Condition: Beautiful.  See minor surface scratches in photos 
 Dimensions: 108 x 54 x 30""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Pair Custom Ferguson Copeland Striped Soho Club Chairs LG223-4,"  Luscious transitional Ferguson Copeland Club Chair with custom striped fabric and dark wood arms and legs.  
 Condition: Excellent 
 Dimensions: 29 x 35 x 34""H  Seat = 20"" 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Mission Tiled Large Coffee Table LG223-12," Expertly crafted, the Mission Tiled Large Coffee Table offers a blend of style and function. With its durable design and spacious tiled surface, it provides a perfect place to gather with friends and family. Enjoy the timeless elegance and practicality of this must-have addition to any living space. 
 Condition: Excellent 
 Dimensions: 39 x 38 x 27""H  Ottoman 24 x 18""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Lexington Furniture White Rubbed Teen Desk & Chair LG223-17," This Lexington Furniture White Rubbed Teen Desk &amp; Chair provides a stylish and functional workspace for teenagers. The white rubbed finish adds a touch of elegance while the desk and chair offer a comfortable and ergonomic design. Perfect for studying, homework, and creative projects. 
 Condition: Very Good 
 Dimensions: 44 x 19 x 30""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Kreiss Chenille Sectional Down Filled Sofa Couch LG223-6," This Kreiss Chenille Sectional Sofa Couch provides optimal comfort with its down filled cushions. The luxurious chenille fabric adds a touch of elegance to any living space. Experience the ultimate relaxation with this expertly crafted and stylish piece. 
 Exquisite Large Kreiss Luxury Down filled Sectional.  
 Condition: Excellent 
 Dimensions: 88 x 41 x 136""L x 36""H  
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Karl Springer Black Lacquer Trestle Console Table LG223-1,"  ""Trestle Style Console"" in thick molded solid black lacquer by Karl Springer, American 1980's. This table is superbly crafted and is extremely impressive in person.  
 Condition: Excellent 
 Dimensions: 96 x 24 x 32""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Judith Norman 3 Seater Collection Sofa with Skirt LG223-24," The Judith Norman 3 Seater Collection Sofa with Skirt is a stylish and versatile addition to any living room. Its skirting adds a touch of elegance, while the three-seater design provides ample seating for guests. Made with high-quality materials, this sofa is a durable and long-lasting option for your home. 
 Condition: Excellent 
 Dimensions: 105 x 41 x 30""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Haverty's Raymour & Flanigan Style Saratoga Wood Nightstand LG223-15," The Raymour &amp; Flanigan Style Saratoga Wood Nightstand adds a touch of elegance and functionality to any bedroom. Made from high-quality wood, it offers durability and style. Its spacious drawers provide ample storage for all your bedside essentials. Upgrade your bedroom with this beautiful nightstand today. 
 Condition: Excellent 
 Dimensions: 29 x 17 x 29""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Haverty's Raymour & Flanigan Style Furniture Wood Queen Bed LG223-16," Expertly crafted by Haverty's Raymour &amp; Flanigan, the LG223-16 Queen Bed combines timeless style with durable wood construction. Designed for lasting comfort and support, this bed is the perfect addition to any bedroom. Available exclusively at Raymour &amp; Flanigan. 
 Condition: Excellent 
 Dimensions: 84 x 80 x 56""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Disney Collection White Desk w Hutch LG223-20," Enhance your child's creativity and productivity with the Disney Collection White Desk w Hutch. Designed with the iconic Disney characters, this desk features a spacious work surface and a hutch for additional storage space. Let your child's imagination run wild with this fun and functional desk. 
 Condition: Good.  Please see photos for areas of paint loss 
 Dimensions: 48 x 24 x 29""H   Hutch = 44 x 13 x 38""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
